noise_std,original_W1,original_W2,original_W3,original_W4,original_W100,original_L2,noisy_vs_noisy_W1,noisy_vs_noisy_W2,noisy_vs_noisy_W3,noisy_vs_noisy_W4,noisy_vs_noisy_W100,noisy_vs_noisy_L2,W1_ratio,W2_ratio,W3_ratio,W4_ratio,W100_ratio,L2_ratio,resolution
1e-08,0.08128311421757384,0.09571176627645706,0.10211710029205268,0.10658853792822555,0.6464841706430753,0.045217185468872746,0.08128313266117174,0.0957117848001404,0.10211711876580801,0.10658855593883698,0.6485946995324966,0.04521718506138766,1.0000002269056505,1.0000001935361145,1.000000180907559,1.0000001689732478,1.0032646257793472,0.9999999909882695,32
1.5264179671752334e-08,0.08128311421757384,0.09571176627645706,0.10211710029205268,0.10658853792822555,0.6464841706430753,0.045217185468872746,0.08128308959401769,0.09571173903585055,0.10211707373856269,0.10658851183102007,0.6469678385666212,0.04521718520609698,0.9999996970643117,0.9999997153891568,0.9999997399701919,0.9999997551593635,1.0007481512239733,0.9999999941885864,32
2.329951810515372e-08,0.08128311421757384,0.09571176627645706,0.10211710029205268,0.10658853792822555,0.6464841706430753,0.045217185468872746,0.08128315274627022,0.09571180413429128,0.1021171364581043,0.10658857307400857,0.6474618889197268,0.04521719304059046,1.0000004740061543,1.000000395540023,1.0000003541625402,1.0000003297332312,1.001512362283641,1.0000001674522117,32
3.556480306223129e-08,0.08128311421757384,0.09571176627645706,0.10211710029205268,0.10658853792822555,0.6464841706430753,0.045217185468872746,0.08128310008581152,0.09571175185877857,0.10211708593372529,0.10658852738897198,0.6471286789582281,0.04521718747090722,0.9999998261414753,0.9999998493635731,0.9999998593935066,0.999999901122074,1.0009969436908435,1.000000044275964,32
5.4286754393238595e-08,0.08128311421757384,0.09571176627645706,0.10211710029205268,0.10658853792822555,0.6464841706430753,0.045217185468872746,0.08128313359611194,0.09571176091543468,0.10211708828564195,0.10658852489997435,0.6465786667666458,0.04521717766758965,1.000000238407919,0.9999999439878441,0.9999998824250719,0.9999998777706173,1.000146169276622,0.9999998274708384,32
8.286427728546843e-08,0.08128311421757384,0.09571176627645706,0.10211710029205268,0.10658853792822555,0.6464841706430753,0.045217185468872746,0.08128315865874361,0.09571177502650385,0.10211707761719965,0.1065884979264093,0.6478711174143379,0.045217176087254236,1.000000546745412,1.0000000914208058,0.9999997779524393,0.9999996247080876,1.0021453684935286,0.9999997925209538,32
1.2648552168552957e-07,0.08128311421757384,0.09571176627645706,0.10211710029205268,0.10658853792822555,0.6464841706430753,0.045217185468872746,0.0812832148993739,0.09571170166302194,0.1021169840528107,0.10658839775188844,0.6464105743165661,0.04521718273309451,1.0000012386557902,0.9999993249164901,0.9999988617063974,0.9999986848835735,0.9998861591205923,0.9999999394969367,32
1.9306977288832497e-07,0.08128311421757384,0.09571176627645706,0.10211710029205268,0.10658853792822555,0.6464841706430753,0.045217185468872746,0.08128340390207914,0.09571222929156782,0.10211761787414435,0.10658908815575074,0.6459957873306644,0.0452172203638419,1.0000035638952578,1.0000048375986441,1.0000050685153632,1.0000051621641115,0.9992445548791627,1.000000771719177,32
2.94705170255181e-07,0.08128311421757384,0.09571176627645706,0.10211710029205268,0.10658853792822555,0.6464841706430753,0.045217185468872746,0.0812832557381519,0.0957118443962524,0.1021171224149959,0.10658852653245612,0.6494020801112022,0.045217305037719,1.0000017410821354,1.0000008161984506,1.0000002166428852,0.999999893086352,1.0045135048940554,1.0000026443230603,32
4.498432668969444e-07,0.08128311421757384,0.09571176627645706,0.10211710029205268,0.10658853792822555,0.6464841706430753,0.045217185468872746,0.08128258016958342,0.09571117472220972,0.10211645529461384,0.1065878649088136,0.6538497019412487,0.045217129842423064,0.999993429779413,0.9999938194198023,0.9999936837470219,0.9999936858181467,1.0113932121351814,0.9999987697940704,32
6.866488450042998e-07,0.08128311421757384,0.09571176627645706,0.10211710029205268,0.10658853792822555,0.6464841706430753,0.045217185468872746,0.08128335825140696,0.09571207110111059,0.10211743792345837,0.10658888556286132,0.6557478471930573,0.045216943270046474,1.000003002269727,1.0000031848190185,1.0000033063160305,1.0000032614635919,1.014329316896912,0.9999946436554208,32
1.0481131341546875e-06,0.08128311421757384,0.09571176627645706,0.10211710029205268,0.10658853792822555,0.6464841706430753,0.045217185468872746,0.08128215245281861,0.09571052671445926,0.10211572656566228,0.10658711819668587,0.6553898599382214,0.04521685431759948,0.9999881677176806,0.9999870490113596,0.999986547538204,0.9999866802606803,1.0137755720859916,0.999992676428888,32
1.5998587196060574e-06,0.08128311421757384,0.09571176627645706,0.10211710029205268,0.10658853792822555,0.6464841706430753,0.045217185468872746,0.08128522433291549,0.0957137587888374,0.10211899394857926,0.10659049207278841,0.6525599642441,0.045217358891625134,1.000025960070083,1.0000208178415033,1.0000185439708058,1.0000183335338007,1.0093982093869074,1.000003835328329,32
2.4420530945486548e-06,0.08128311421757384,0.09571176627645706,0.10211710029205268,0.10658853792822555,0.6464841706430753,0.045217185468872746,0.0812878659684021,0.09571615023229307,0.10212150028908931,0.10659283342078922,0.6585328303926816,0.04521781388732546,1.0000584592614838,1.0000458037293278,1.0000430877592885,1.000040299760623,1.0186372076792247,1.0000138977790456,32
3.727593720314938e-06,0.08128311421757384,0.09571176627645706,0.10211710029205268,0.10658853792822555,0.6464841706430753,0.045217185468872746,0.08129095074947482,0.09571688355553153,0.102121580916319,0.10659230386166274,0.6565524416087589,0.04521718740782448,1.0000964103304408,1.0000534655170785,1.0000438773158806,1.000035331504779,1.0155738862958832,1.0000000428808586,32
