noise_std,original_W1,original_W2,original_W3,original_W4,original_W100,original_L2,noisy_vs_noisy_W1,noisy_vs_noisy_W2,noisy_vs_noisy_W3,noisy_vs_noisy_W4,noisy_vs_noisy_W100,noisy_vs_noisy_L2,W1_ratio,W2_ratio,W3_ratio,W4_ratio,W100_ratio,L2_ratio,resolution
0.0001,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,1.4142135623730951,0.7079000611754779,0.6974058521700364,0.6962504207195231,0.696976895356294,0.7069022974393911,1.4142407293677477,1.0011218673191045,0.9862808146172312,0.984646787789523,0.9856741780735644,0.9997108163114865,1.0000192099661434,32
0.0002782559402207126,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,1.4142135623730951,0.7096155771327183,0.638736478737985,0.6270007461353069,0.6788767548047574,0.7065811306928753,1.4141820297044165,1.0035479732523012,0.9033097910136924,0.8867129588026009,0.960076713824722,0.9992566179427805,0.9999777030361484,32
0.000774263682681127,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,1.4142135623730951,0.7131708729994705,0.6278328955691188,0.5789480172004577,0.5807604447465259,0.7055062590729217,1.4142947152792567,1.0085759208853111,0.8878897958178188,0.8187561378338992,0.8213192974503674,0.9977365199200323,1.0000573837702598,32
0.002154434690031882,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,1.4142135623730951,0.7275680766163801,0.49518266405003947,0.4324874591474991,0.41186758334478757,0.699163989092731,1.4161939662565697,1.0289366415005918,0.7002940393516058,0.611629630282673,0.5824687222680296,0.9887671956978149,1.001400357015493,32
0.005994842503189409,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,1.4142135623730951,0.7527245866629511,0.35044588896863393,0.27827038955504735,0.25276514385694415,0.6893193930826843,1.4341416053294942,1.0645133191904275,0.4956053290573379,0.3935337589155924,0.3574638945376768,0.9748448345043227,1.0140912543102465,32
0.016681005372000592,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,1.4142135623730951,0.8581012264123539,0.268558813268459,0.1884900127557007,0.1623077382643777,0.67169361994847,1.5970176691944808,1.2135383922813368,0.3797995160190782,0.2665651324109896,0.22953780473158547,0.9499182270906055,1.1292620235621518,32
0.046415888336127774,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,1.4142135623730951,1.589635441494475,0.3021512876340743,0.17630474809316043,0.13749131420828303,0.6831077382092581,2.527569737849443,2.248084000590429,0.4273064488606019,0.24933256586411953,0.19444208126185447,0.9660602279375424,1.7872617015552452,32
0.12915496650148828,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,1.4142135623730951,3.7922912049661037,0.43252303150033444,0.2104412883615403,0.1494733923696984,0.683949995217408,5.972425321706554,5.363109654531271,0.6116799371864984,0.2976089240841576,0.21138729870314255,0.9672513592214718,4.223142445108952,32
0.3593813663804626,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,1.4142135623730951,10.66179529231645,0.7289507463770188,0.29918890357765116,0.19513576117098885,0.6849449148913223,16.29515759849971,15.07805550163954,1.0308920318283703,0.42311700515105044,0.2759636399520096,0.9686583881177931,11.52241643840264,32
1.0,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,1.4142135623730951,29.333134785385813,1.2028521936203567,0.4163486691445143,0.2495495361859677,0.6960758739962828,45.36089865807298,41.48331704041062,1.7010898857481365,0.5888059345801606,0.35291633855811094,0.9843999414462486,32.07499904183917,32
